Id,Title,Author,Genre,Publisher
3,"God Created the Integers","Hawking, Stephen",mathematics,Penguin
4,Superfreakonomics,"Dubner, Stephen",economics,HarperCollins
6,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,Springer
7,"Integration of the Indian States",Menon,history,"Orient Blackswan"
8,"Drunkard's Walk, The","Mlodinow, Leonard",science,Penguin
14,"Structure & Interpretation of Computer Programs","Sussman, Gerald",computer_science,"MIT Press"
15,"Age of Wrath, The","Eraly, Abraham",history,Penguin
16,"Trial, The","Kafka, Frank",fiction,"Random House"
18,"Data Mining Handbook","Nisbet, Robert",data_science,Apress
20,"Physics & Philosophy","Heisenberg, Werner",science,Penguin
21,"Making Software","Oram, Andy",computer_science,O'Reilly
22,"Analysis, Vol I","Tao, Terence",mathematics,HBA
23,"Machine Learning for Hackers","Conway, Drew",data_science,O'Reilly
24,"Signal and the Noise, The","Silver, Nate",data_science,Penguin
25,"Python for Data Analysis","McKinney, Wes",data_science,O'Reilly
26,"Introduction to Algorithms","Cormen, Thomas",computer_science,"MIT Press"
27,"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,Penguin
28,"Outsider, The","Camus, Albert",fiction,Penguin
29,"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,"Random House"
31,"Wealth of Nations, The","Smith, Adam",economics,"Random House"
32,"Pillars of the Earth, The","Follett, Ken",fiction,"Random House"
33,"Mein Kampf","Hitler, Adolf",nonfiction,Rupa
34,"Tao of Physics, The","Capra, Fritjof",science,Penguin
35,"Surely You're Joking Mr Feynman","Feynman, Richard",science,"Random House"
36,"Farewell to Arms, A","Hemingway, Ernest",fiction,Rupa
37,"Veteran, The","Forsyth, Frederick",fiction,Transworld
38,"False Impressions","Archer, Jeffery",fiction,Pan
40,"Return of the Primitive","Rand, Ayn",philosophy,Penguin
42,"Russian Journal, A","Steinbeck, John",nonfiction,Penguin
43,"Tales of Mystery and Imagination","Poe, Edgar Allen",fiction,HarperCollins
44,Freakonomics,"Dubner, Stephen",economics,Penguin
45,"Hidden Connections, The","Capra, Fritjof",science,HarperCollins
46,"Story of Philosophy, The","Durant, Will",philosophy,Pocket
47,"Asami Asami","Deshpande, P L",fiction,Mauj
48,"Journal of a Novel","Steinbeck, John",fiction,Penguin
49,"Once There Was a War","Steinbeck, John",nonfiction,Penguin
50,"Moon is Down, The","Steinbeck, John",fiction,Penguin
51,"Brethren, The","Grisham, John",fiction,"Random House"
52,"In a Free State","Naipaul, V. S.",fiction,Rupa
53,"Catch 22","Heller, Joseph",fiction,"Random House"
54,"Complete Mastermind, The",BBC,nonfiction,BBC
55,"Dylan on Dylan","Dylan, Bob",nonfiction,"Random House"
56,"Soft Computing & Intelligent Systems","Gupta, Madan",data_science,Elsevier
57,"Textbook of Economic Theory","Stonier, Alfred",economics,Pearson
59,"Learning OpenCV","Bradsky, Gary",data_science,O'Reilly
60,"Data Structures Using C & C++","Tanenbaum, Andrew",computer_science,"Prentice Hall"
61,"Computer Vision, A Modern Approach","Forsyth, David",data_science,Pearson
62,"Principles of Communication Systems","Taub, Schilling",computer_science,TMH
63,"Let Us C","Kanetkar, Yashwant",computer_science,"Prentice Hall"
64,"Amulet of Samarkand, The","Stroud, Jonathan",fiction,"Random House"
65,"Crime and Punishment","Dostoevsky, Fyodor",fiction,Penguin
66,"Angels & Demons","Brown, Dan",fiction,"Random House"
67,"Argumentative Indian, The","Sen, Amartya",nonfiction,Picador
68,"Sea of Poppies","Ghosh, Amitav",fiction,Penguin
69,"Idea of Justice, The","Sen, Amartya",nonfiction,Penguin
70,"Raisin in the Sun, A","Hansberry, Lorraine",fiction,Penguin
71,"All the President's Men","Woodward, Bob",history,"Random House"
72,"Prisoner of Birth, A","Archer, Jeffery",fiction,Pan
73,Scoop!,"Nayar, Kuldip",history,HarperCollins
74,"Ahe Manohar Tari","Deshpande, Sunita",nonfiction,Mauj
75,"Last Mughal, The","Dalrymple, William",history,Penguin
76,"Social Choice & Welfare, Vol 39 No. 1",Various,economics,Springer
78,"Gun Gayin Awadi","Deshpande, P L",nonfiction,Mauj
79,"Aghal Paghal","Deshpande, P L",nonfiction,Mauj
80,Maqta-e-Ghalib,"Garg, Sanjay",fiction,Mauj
81,"Beyond Degrees",,nonfiction,HarperCollins
